property_tax_id,id,2018.total,2019.total,2022.total,2017.total,2021.total,2013.total,2014.total,2015.total,2016.total,2020.total,2023.total
0,"7420-FM-2673,-Canyon-Lake,-TX-78133",,,,,,,,,,,
1,"1350-Hinch-Dr,-New-Braunfels,-TX-78132",,,,,,,,,,,
2,"1200-Hinch-Dr,-New-Braunfels,-TX-78132",178.0,136.0,120.0,,,,,,,,
3,"1340-Hinch-Dr,-New-Braunfels,-TX-78132",2312.0,5999.0,6754.0,,,,,,,,
4,"1331-Hinch-Dr,-New-Braunfels,-TX-78132",1802.0,,3320.0,,,,,,,,
5,"187-Madrona-Dr,-New-Braunfels,-TX-78132",,,,,,,,,,,
6,"1171-Hinch-Dr,-New-Braunfels,-TX-78132",1167.0,,,276.0,,,,,,,
7,"1501-Old-Sattler-Rd,-New-Braunfels,-TX-78132",1167.0,3582.0,5744.0,,,,,,,,
8,"1250-Hinch-Dr,-New-Braunfels,-TX-78132",,,,,,,,,,,
9,"7106-FM-2673,-Canyon-Lake,-TX-78133",,,,,,,,,,,
10,"7034-FM-2673,-Canyon-Lake,-TX-78133",,,3834.0,,,,,,,,
11,"5509-Roanwood,-San-Antonio,-TX-78244",,,,,,,,,,,
12,"5528-Lochmoor,-San-Antonio,-TX-78244",,,,,,,,,,,
13,"5523-Lochmoor,-Apt-2,-San-Antonio,-TX-78244",,,,,,,,,,,
14,"5721-Lochmoor,-San-Antonio,-TX-78244",,,,,,,,,,,
15,"5519-Lochmoor,-Apt-2,-San-Antonio,-TX-78244",,,,,,,,,,,
16,"5527-Lochmoor,---2,-San-Antonio,-TX-78244",,,,,,,,,,,
17,"5520-Lochmoor,-San-Antonio,-TX-78244",,,,,,,,,,,
18,"5512-Lochmoor,-San-Antonio,-TX-78244",,,,,,,,,,,
19,"5516-Lochmoor,-San-Antonio,-TX-78244",,,,,,,,,,,
20,"5511-Lochmoor,-Apt-2,-San-Antonio,-TX-78244",,,,,,,,,,,
21,"5705-Lochmoor,-San-Antonio,-TX-78244",,,,,,,,,,,
22,"5315-Shadow-Lake-Dr,-San-Antonio,-TX-78244",,1966.0,2187.0,,2261.0,,,,,,1598.0
23,"7020-Atherton,-San-Antonio,-TX-78244",,,,,,,,,,,
24,"7002-Atherton,-San-Antonio,-TX-78244",,,,,,,,,,,
25,"5713-Lochmoor,-San-Antonio,-TX-78244",,,,,,,,,,,
26,"5223-Lakebend-East-Dr,-San-Antonio,-TX-78244",,2970.0,3929.0,,3411.0,,,,,,4069.0
27,"5319-Lakebend-East-Dr,-San-Antonio,-TX-78244",,3377.0,3388.0,,3729.0,,,,,,2788.0
28,"5307-Lakebend-East-Dr,-San-Antonio,-TX-78244",,3015.0,3475.0,,3495.0,,,,,,2848.0
29,"7024-Atherton,-San-Antonio,-TX-78244",,,,,,,,,,,
30,"5310-Lake,-Golden,-San-Antonio,-TX-78244",,1461.0,1542.0,,1543.0,,,,,,778.0
31,"5327-Lakebend-East-Dr,-San-Antonio,-TX-78244",,3307.0,4292.0,,3691.0,,,,,,4432.0
32,"5515-Roanwood,-San-Antonio,-TX-78244",,,,,,,,,,,
33,"5508-Grand-Lake-Dr,-San-Antonio,-TX-78244",2921.0,3001.0,3963.0,2539.0,3433.0,1654.0,1838.0,1989.0,2489.0,3041.0,4103.0
34,"5523-Lochmoor,-Apt-1,-San-Antonio,-TX-78244",,,,,,,,,,,
35,"5507-Lochmoor,-San-Antonio,-TX-78244",,3173.0,3685.0,,3616.0,,,,,,3572.0
36,"6831-Quail-Lk,-San-Antonio,-TX-78244",,2498.0,3704.0,,3205.0,,,,,,3835.0
37,"5322-Shadow-Lake-Dr,-San-Antonio,-TX-78244",,668.0,727.0,,741.0,,,,,,476.0
38,"5307-Shadow-Lake-Dr,-San-Antonio,-TX-78244",,2965.0,3764.0,,3446.0,,,,,,
39,"5403-Park-Lk,-San-Antonio,-TX-78244",,1655.0,1778.0,,1761.0,,,,,,1026.0
40,"5306-Shadow-Lake-Dr,-San-Antonio,-TX-78244",,1788.0,2981.0,,2567.0,,,,,,3107.0
41,"5407-Park-Lk,-San-Antonio,-TX-78244",,3164.0,3669.0,,3680.0,,,,,,3063.0
42,"5414-Shadow-Lake-Dr,-San-Antonio,-TX-78244",,2241.0,2592.0,,2639.0,,,,,,2005.0
43,"5414-Lake-Grove-Dr,-San-Antonio,-TX-78244",,2577.0,3026.0,,3060.0,,,,,,2430.0
44,"5526-Grand-Lake-Dr,-San-Antonio,-TX-78244",2957.0,3137.0,4174.0,2673.0,3521.0,1973.0,2159.0,2369.0,2627.0,3210.0,4323.0
45,"5410-Lake-Grove-Dr,-San-Antonio,-TX-78244",,2381.0,3253.0,,2805.0,,,,,,1052.0
46,"5527-Lochmoor,-San-Antonio,-TX-78244",,4980.0,5904.0,,5603.0,,,,,,5731.0
47,"6830-Blue-Lake-Dr,-San-Antonio,-TX-78244",,2226.0,2861.0,,2578.0,,,,,,2886.0
48,"6826-Blue-Lake-Dr,-San-Antonio,-TX-78244",,287.0,329.0,,349.0,,,,,,347.0
49,"6834-Blue-Lake-Dr,-San-Antonio,-TX-78244",,1340.0,1404.0,,1410.0,,,,,,697.0
50,"5602-Crater-Lake-Dr,-San-Antonio,-TX-78244",,2179.0,2266.0,,2266.0,,,,,,1046.0
51,"6847-Blue-Lake-Dr,-San-Antonio,-TX-78244",,2261.0,3645.0,,3100.0,,,,,,3750.0
52,"6838-Blue-Lake-Dr,-San-Antonio,-TX-78244",,2599.0,2905.0,,2949.0,,,,,,
53,"6842-Blue-Lake-Dr,-San-Antonio,-TX-78244",,2662.0,3629.0,,3135.0,,,,,,3763.0
54,"6901-Twin-Lake-Dr,-San-Antonio,-TX-78244",,2278.0,2550.0,,2609.0,,,,,,1956.0
55,"6839-Twin-Lake-Dr,-San-Antonio,-TX-78244",,3258.0,3804.0,,3728.0,,,,,,3180.0
56,"6915-Indian-Lake-Dr,-San-Antonio,-TX-78244",,2920.0,3303.0,,3332.0,,,,,,2702.0
57,"6910-Twin-Lake-Dr,-San-Antonio,-TX-78244",,2287.0,2407.0,,2399.0,,,,,,1268.0
58,"6903-Twin-Lake-Dr,-San-Antonio,-TX-78244",,2293.0,2186.0,,2624.0,,,,,,1360.0
59,"6915-Trail-Lk,-San-Antonio,-TX-78244",,2075.0,2202.0,,2187.0,,,,,,1083.0
60,"6906-Indian-Lake-Dr,-San-Antonio,-TX-78244",,,,,,,,,,,
61,"6930-Trail-Lk,-San-Antonio,-TX-78244",,62.0,,,,,,,,,
62,"6927-Trail-Lk,-San-Antonio,-TX-78244",,3192.0,2621.0,,3595.0,,,,,,1564.0
63,"6925-Trail-Lk,-San-Antonio,-TX-78244",,2732.0,3576.0,,3104.0,,,,,,2390.0
64,"6931-Trail-Lk,-San-Antonio,-TX-78244",,2529.0,3491.0,,3003.0,,,,,,3629.0
65,"6926-Trail-Lk,-San-Antonio,-TX-78244",,2635.0,3315.0,,3015.0,,,,,,3544.0
66,"6823-Twin-Lake-Dr,-San-Antonio,-TX-78244",,3338.0,3366.0,,3394.0,,,,,,2764.0
67,"6826-Indian-Lake-Dr,-San-Antonio,-TX-78244",,,,,,,,,,,
68,"5501-Grand-Lake-Dr,-San-Antonio,-TX-78244",,3054.0,4080.0,,3542.0,,,,,,3957.0
69,"6827-Twin-Lake-Dr,-San-Antonio,-TX-78244",,2899.0,4255.0,,3343.0,,,,,,4408.0
70,"5522-Grand-Lake-Dr,-San-Antonio,-TX-78244",,1188.0,1290.0,,1281.0,,,,,,842.0
71,"6835-Twin-Lake-Dr,-San-Antonio,-TX-78244",,2659.0,3627.0,,3102.0,,,,,,3544.0
72,"6834-Indian-Lake-Dr,-San-Antonio,-TX-78244",,2635.0,3625.0,,3015.0,,,,,,3517.0
73,"6830-Indian-Lake-Dr,-San-Antonio,-TX-78244",,1623.0,1728.0,,1719.0,,,,,,928.0
74,"6838-Indian-Lake-Dr,-San-Antonio,-TX-78244",,2799.0,3163.0,,3197.0,,,,,,2564.0
75,"6831-Twin-Lake-Dr,-San-Antonio,-TX-78244",,2800.0,3804.0,,3242.0,,,,,,3944.0
76,"6903-Indian-Lake-Dr,-San-Antonio,-TX-78244",,1606.0,1729.0,,1720.0,,,,,,899.0
77,"6910-Moon-Lake-Dr,-San-Antonio,-TX-78244",,3118.0,4227.0,,3558.0,,,,,,4368.0
78,"6838-Twin-Lake-Dr,-San-Antonio,-TX-78244",,1123.0,1188.0,,1194.0,,,,,,664.0
79,"6911-Twin-Lake-Dr,-San-Antonio,-TX-78244",,,,,,,,,,,
80,"6839-Indian-Lake-Dr,-San-Antonio,-TX-78244",,2714.0,3126.0,,3126.0,,,,,,2491.0
81,"7018-Atherton,-San-Antonio,-TX-78244",,3787.0,4484.0,,4316.0,,,,,,4356.0
82,"7022-Atherton,-San-Antonio,-TX-78244",,3416.0,3974.0,,3827.0,,,,,,3778.0
83,"5524-Lochmoor,-San-Antonio,-TX-78244",,,,,,,,,,,
84,"6919-Indian-Lake-Dr,-San-Antonio,-TX-78244",,3358.0,4370.0,,3762.0,,,,,,4512.0
85,"6922-Moon-Lake-Dr,-San-Antonio,-TX-78244",,1610.0,1712.0,,1703.0,,,,,,918.0
86,"6826-Still-Lk,-San-Antonio,-TX-78244",,3372.0,4338.0,,3723.0,,,,,,4476.0
87,"6827-Still-Lk,-San-Antonio,-TX-78244",,3364.0,4006.0,,3729.0,,,,,,4138.0
88,"6823-Still-Lk,-San-Antonio,-TX-78244",,3715.0,4253.0,,4074.0,,,,,,3041.0
89,"6819-Still-Lk,-San-Antonio,-TX-78244",3051.0,3128.0,4059.0,2646.0,3492.0,,,,,3172.0,4196.0
90,"6822-Still-Lk,-San-Antonio,-TX-78244",,,,,,,,,,,
91,"6902-Trail-Lk,-San-Antonio,-TX-78244",,2851.0,3256.0,,3283.0,,,,,,2657.0
92,"6835-Still-Lk,-San-Antonio,-TX-78244",,1643.0,1765.0,,1751.0,,,,,,1095.0
93,"6903-Quail-Lk,-San-Antonio,-TX-78244",,3186.0,3128.0,,3142.0,,,,,,2018.0
94,"6831-Still-Lk,-San-Antonio,-TX-78244",,1131.0,1223.0,,1218.0,,,,,,789.0
95,"6830-Still-Lk,-San-Antonio,-TX-78244",,2719.0,3067.0,,3104.0,,,,,,2481.0
96,"6906-Trail-Lk,-San-Antonio,-TX-78244",,2188.0,2309.0,,2295.0,,,,,,1100.0
97,"6907-Quail-Lk,-San-Antonio,-TX-78244",2719.0,2778.0,3583.0,2692.0,3086.0,,,,,2883.0,3626.0
98,"6906-Quail-Lk,-San-Antonio,-TX-78244",,3163.0,4451.0,,3876.0,,,,,,2941.0
99,"6905-Quail-Lk,-San-Antonio,-TX-78244",,2234.0,2397.0,,2461.0,,,,,,1807.0
100,"6903-Trail-Lk,-San-Antonio,-TX-78244",,2872.0,2824.0,,2869.0,,,,,,2231.0
101,"6911-Quail-Lk,-San-Antonio,-TX-78244",,3233.0,4216.0,,3628.0,,,,,,4126.0
102,"6910-Trail-Lk,-San-Antonio,-TX-78244",,2579.0,2299.0,,2289.0,,,,,,1180.0
103,"6913-Quail-Lk,-San-Antonio,-TX-78244",,3119.0,3114.0,,3149.0,,,,,,2516.0
104,"6910-Quail-Lk,-San-Antonio,-TX-78244",,2633.0,2950.0,,2987.0,,,,,,2365.0
105,"6909-Quail-Lk,-San-Antonio,-TX-78244",,2023.0,2253.0,,2322.0,,,,,,1664.0
106,"5303-Lakebend-East-Dr,-San-Antonio,-TX-78244",,,,,,,,,,,
107,"5418-Shadow-Lake-Dr,-San-Antonio,-TX-78244",,2767.0,3955.0,,3417.0,,,,,,4070.0
108,"5503-Lochmoor,-San-Antonio,-TX-78244",,3724.0,4232.0,,4144.0,,,,,,4229.0
109,"7006-Atherton,-San-Antonio,-TX-78244",,,,,,,,,,,
110,"5402-Park-Lk,-San-Antonio,-TX-78244",,,,,,,,,,,
111,"5318-Lake,-Golden,-San-Antonio,-TX-78244",,3323.0,4081.0,,4068.0,,,,,,3466.0
112,"5511-Roanwood,-San-Antonio,-TX-78244",,1969.0,2041.0,,2040.0,,,,,,708.0
113,"5315-Lakebend-East-Dr,-San-Antonio,-TX-78244",,1835.0,1939.0,,1929.0,,,,,,986.0
114,"5512-Grand-Lake-Dr,-San-Antonio,-TX-78244",,2790.0,3758.0,,3218.0,,,,,,3893.0
115,"5504-Grand-Lake-Dr,-San-Antonio,-TX-78244",,2664.0,3678.0,,3161.0,,,,,,3553.0
116,"5514-Lochmoor,-San-Antonio,-TX-78244",,3524.0,4177.0,,4016.0,,,,,,4064.0
117,"5319-Shadow-Lake-Dr,-San-Antonio,-TX-78244",,1853.0,2134.0,,2210.0,,,,,,1546.0
118,"5511-Lochmoor,-Apt-1,-San-Antonio,-TX-78244",,,,,,,,,,,
119,"5530-Grand-Lake-Dr,-San-Antonio,-TX-78244",,2462.0,2748.0,,2796.0,,,,,,2155.0
120,"5519-Roanwood,-San-Antonio,-TX-78244",,3004.0,3687.0,,2973.0,,,,,,3732.0
121,"5709-Lochmoor,-San-Antonio,-TX-78244",,,,,,,,,,,
122,"5717-Lochmoor,-San-Antonio,-TX-78244",,,,,,,,,,,
123,"5629-Lochmoor,-San-Antonio,-TX-78244",,,,,,,,,,,
124,"5519-Lochmoor,-Apt-1,-San-Antonio,-TX-78244",,,,,,,,,,,
125,"5515-Lochmoor,-Apt-2,-San-Antonio,-TX-78244",,,,,,,,,,,
126,"5502-Grand-Lake-Dr,-San-Antonio,-TX-78244",,3310.0,3267.0,,3723.0,,,,,,2669.0
127,"5503-Roanwood,-San-Antonio,-TX-78244",,3822.0,4417.0,,4382.0,,,,,,4248.0
128,"7014-Atherton,-San-Antonio,-TX-78244",,,,,,,,,,,
129,"7012-Atherton,-San-Antonio,-TX-78244",,,,,,,,,,,
130,"6921-Trail-Lk,-San-Antonio,-TX-78244",,2146.0,2401.0,,2464.0,,,,,,1810.0
131,"5306-Lake,-Golden,-San-Antonio,-TX-78244",,3231.0,3323.0,,3321.0,,,,,,1997.0
132,"5310-Shadow-Lake-Dr,-San-Antonio,-TX-78244",,2701.0,3604.0,,3015.0,,,,,,3581.0
133,"5218-Lakebend-East-Dr,-San-Antonio,-TX-78244",,3082.0,4362.0,,3779.0,,,,,,4488.0
134,"5323-Lakebend-East-Dr,-San-Antonio,-TX-78244",,1782.0,1886.0,,1883.0,,,,,,897.0
135,"5411-Park-Lk,-San-Antonio,-TX-78244",,,,,,,,,,,
136,"5302-Lake,-Golden,-San-Antonio,-TX-78244",,1805.0,1965.0,,1940.0,,,,,,1135.0
