tax_ass_id,id,2019.value,2019.improvements,2022.value,2022.improvements,2023.value,2023.improvements,2019.land,2020.value,2020.land,2020.improvements,2022.land,2023.land,2018.value,2018.land,2018.improvements,2021.value,2021.land,2021.improvements,2013.value,2013.land,2013.improvements,2014.value,2014.land,2014.improvements,2015.value,2015.land,2015.improvements,2016.value,2016.land,2016.improvements,2017.value,2017.land,2017.improvements,0.date
0,"7420-FM-2673,-Canyon-Lake,-TX-78133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"1350-Hinch-Dr,-New-Braunfels,-TX-78132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"1200-Hinch-Dr,-New-Braunfels,-TX-78132",10750.0,10750.0,10750.0,10750.0,10750.0,10750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"1340-Hinch-Dr,-New-Braunfels,-TX-78132",400761.0,239261.0,604390.0,323950.0,742360.0,368440.0,161500.0,433760.0,180880.0,252880.0,280440.0,373920.0,,,,,,,,,,,,,,,,,,,,,,
4,"1331-Hinch-Dr,-New-Braunfels,-TX-78132",107720.0,83215.0,197225.0,101645.0,265335.0,127405.0,24505.0,151960.0,79805.0,72155.0,95580.0,137930.0,,,,,,,,,,,,,,,,,,,,,,
5,"187-Madrona-Dr,-New-Braunfels,-TX-78132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"1171-Hinch-Dr,-New-Braunfels,-TX-78132",205910.0,178090.0,338790.0,223120.0,425680.0,217470.0,27820.0,,,,115670.0,208210.0,,,,,,,,,,,,,,,,,,,,,,
7,"1501-Old-Sattler-Rd,-New-Braunfels,-TX-78132",192800.0,170220.0,341180.0,242070.0,405880.0,263100.0,22580.0,238150.0,82620.0,155530.0,99110.0,142780.0,,,,,,,,,,,,,,,,,,,,,,
8,"1250-Hinch-Dr,-New-Braunfels,-TX-78132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"7106-FM-2673,-Canyon-Lake,-TX-78133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"7034-FM-2673,-Canyon-Lake,-TX-78133",,,464320.0,183010.0,695500.0,320420.0,,,,,281310.0,375080.0,,,,,,,,,,,,,,,,,,,,,,
11,"5509-Roanwood,-San-Antonio,-TX-78244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"5528-Lochmoor,-San-Antonio,-TX-78244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"5523-Lochmoor,-Apt-2,-San-Antonio,-TX-78244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"5721-Lochmoor,-San-Antonio,-TX-78244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"5519-Lochmoor,-Apt-2,-San-Antonio,-TX-78244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"5527-Lochmoor,---2,-San-Antonio,-TX-78244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"5520-Lochmoor,-San-Antonio,-TX-78244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"5512-Lochmoor,-San-Antonio,-TX-78244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"5516-Lochmoor,-San-Antonio,-TX-78244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"5511-Lochmoor,-Apt-2,-San-Antonio,-TX-78244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"5705-Lochmoor,-San-Antonio,-TX-78244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"5315-Shadow-Lake-Dr,-San-Antonio,-TX-78244",104108.0,82740.0,153680.0,108080.0,175770.0,121050.0,22330.0,110380.0,22330.0,88050.0,45600.0,54720.0,94644.0,17870.0,79870.0,121418.0,41490.0,87260.0,,,,,,,,,,,,,,,,
23,"7020-Atherton,-San-Antonio,-TX-78244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"7002-Atherton,-San-Antonio,-TX-78244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"5713-Lochmoor,-San-Antonio,-TX-78244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"5223-Lakebend-East-Dr,-San-Antonio,-TX-78244",,,189740.0,141970.0,215950.0,158710.0,,141350.0,22860.0,118490.0,47770.0,57240.0,125910.0,18290.0,107620.0,160720.0,43440.0,117280.0,,,,,,,,,,,,,,,,
27,"5319-Lakebend-East-Dr,-San-Antonio,-TX-78244",152640.0,131130.0,209330.0,168030.0,237570.0,188040.0,21510.0,161050.0,21510.0,139540.0,41300.0,49530.0,143840.0,17200.0,126640.0,175790.0,37570.0,138220.0,,,,,,,,,,,,,,,,
28,"5307-Lakebend-East-Dr,-San-Antonio,-TX-78244",151735.0,134940.0,215390.0,174090.0,215000.0,165470.0,21510.0,165100.0,21510.0,143590.0,41300.0,49530.0,137941.0,17200.0,130280.0,179790.0,37570.0,142220.0,,,,,,,,,,,,,,,,
29,"7024-Atherton,-San-Antonio,-TX-78244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"5310-Lake,-Golden,-San-Antonio,-TX-78244",117700.0,97940.0,168360.0,125240.0,191930.0,140200.0,21780.0,126000.0,21780.0,104220.0,43120.0,51730.0,107000.0,17430.0,89570.0,,,,,,,,,,,,,,,,,,,
31,"5327-Lakebend-East-Dr,-San-Antonio,-TX-78244",149500.0,127590.0,207320.0,163710.0,235310.0,183010.0,21910.0,157680.0,21910.0,135770.0,43610.0,52300.0,140840.0,17530.0,123310.0,173970.0,39610.0,134360.0,,,,,,,,,,,,,,,,
32,"5515-Roanwood,-San-Antonio,-TX-78244",132460.0,108830.0,183630.0,143730.0,203740.0,155860.0,23630.0,134040.0,23630.0,110410.0,39900.0,47880.0,123607.0,23630.0,100910.0,,,,,,,,,,,,,,,,,,,
33,"5508-Grand-Lake-Dr,-San-Antonio,-TX-78244",136210.0,113430.0,191370.0,144140.0,217780.0,161120.0,22780.0,143480.0,22780.0,120700.0,47230.0,56660.0,127850.0,18220.0,109630.0,162430.0,43000.0,119430.0,72100.0,18220.0,53880.0,80540.0,18220.0,62320.0,87370.0,18220.0,69150.0,107230.0,18220.0,89010.0,111790.0,18220.0,93570.0,
34,"5523-Lochmoor,-Apt-1,-San-Antonio,-TX-78244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"5507-Lochmoor,-San-Antonio,-TX-78244",143000.0,116090.0,177500.0,132560.0,204680.0,150790.0,26910.0,147000.0,26910.0,120090.0,44940.0,53890.0,126520.0,26910.0,99610.0,170000.0,40870.0,129130.0,,,,,,,,,,,,,,,,
36,"6831-Quail-Lk,-San-Antonio,-TX-78244",128260.0,107830.0,178830.0,137800.0,203490.0,154250.0,21450.0,136190.0,21450.0,114740.0,41030.0,49240.0,121250.0,17160.0,104090.0,,,,,,,,,,,,,,,,,,,
37,"5322-Shadow-Lake-Dr,-San-Antonio,-TX-78244",88000.0,65680.0,143430.0,97900.0,164220.0,109610.0,22320.0,96800.0,22320.0,79930.0,45530.0,54610.0,87714.0,17860.0,72500.0,,,,,,,,,,,,,,,,,,,
38,"5307-Shadow-Lake-Dr,-San-Antonio,-TX-78244",133950.0,108860.0,181730.0,128590.0,207020.0,143290.0,25090.0,140930.0,25090.0,115840.0,53140.0,63730.0,120000.0,20070.0,99930.0,,,,,,,,,,,,,,,,,,,
39,"5403-Park-Lk,-San-Antonio,-TX-78244",161036.0,134490.0,228290.0,166870.0,260220.0,186660.0,27530.0,170640.0,27530.0,143110.0,61420.0,73560.0,146396.0,22030.0,130360.0,187704.0,55770.0,141700.0,,,,,,,,,,,,,,,,
40,"5306-Shadow-Lake-Dr,-San-Antonio,-TX-78244",96050.0,74510.0,143790.0,97320.0,164760.0,109010.0,22520.0,101800.0,22520.0,79280.0,46470.0,55750.0,87318.0,18020.0,71890.0,120790.0,42220.0,78570.0,,,,,,,,,,,,,,,,
41,"5407-Park-Lk,-San-Antonio,-TX-78244",158502.0,138390.0,223490.0,172040.0,257830.0,196120.0,24150.0,171410.0,24150.0,147260.0,51450.0,61710.0,144093.0,19320.0,133690.0,188551.0,46820.0,145790.0,,,,,,,,,,,,,,,,
42,"5414-Shadow-Lake-Dr,-San-Antonio,-TX-78244",116590.0,99020.0,155030.0,115870.0,175460.0,128540.0,17570.0,126630.0,17570.0,109060.0,39160.0,46920.0,106326.0,14060.0,96520.0,139293.0,35580.0,106950.0,,,,,,,,,,,,,,,,
43,"5414-Lake-Grove-Dr,-San-Antonio,-TX-78244",116350.0,92710.0,187020.0,136930.0,212940.0,152940.0,23640.0,122300.0,23640.0,98660.0,50090.0,60000.0,108580.0,18910.0,89670.0,159240.0,45540.0,113700.0,,,,,,,,,,,,,,,,
44,"5526-Grand-Lake-Dr,-San-Antonio,-TX-78244",142393.0,,201620.0,158210.0,229510.0,177480.0,,151460.0,21830.0,129630.0,43410.0,52030.0,129448.0,,,166606.0,,,86010.0,17460.0,68550.0,94611.0,,,104072.0,,,113190.0,17460.0,95730.0,117680.0,17460.0,100220.0,
45,"5410-Lake-Grove-Dr,-San-Antonio,-TX-78244",107460.0,84850.0,156970.0,109980.0,179270.0,122950.0,22610.0,112900.0,22610.0,90290.0,46990.0,56320.0,100100.0,18080.0,82020.0,,,,,,,,,,,,,,,,,,,
46,"5527-Lochmoor,-San-Antonio,-TX-78244",225000.0,196000.0,285000.0,235680.0,304000.0,244870.0,29000.0,234000.0,29000.0,205000.0,49320.0,59130.0,195000.0,29000.0,166000.0,264000.0,44850.0,219150.0,,,,,,,,,,,,,,,,
47,"6830-Blue-Lake-Dr,-San-Antonio,-TX-78244",100410.0,78710.0,138000.0,95560.0,165390.0,114500.0,21700.0,105450.0,21700.0,83750.0,42440.0,50890.0,90574.0,17360.0,76130.0,121340.0,38540.0,82800.0,,,,,,,,,,,,,,,,
48,"6826-Blue-Lake-Dr,-San-Antonio,-TX-78244",74802.0,59020.0,131590.0,81010.0,150950.0,90270.0,23840.0,82282.0,23840.0,62800.0,50580.0,60680.0,68002.0,19070.0,51470.0,,,,,,,,,,,,,,,,,,,
49,"6834-Blue-Lake-Dr,-San-Antonio,-TX-78244",107315.0,86490.0,154830.0,112390.0,176580.0,125690.0,21700.0,113730.0,21700.0,92030.0,42440.0,50890.0,97559.0,17360.0,83580.0,125103.0,38540.0,91100.0,,,,,,,,,,,,,,,,
50,"5602-Crater-Lake-Dr,-San-Antonio,-TX-78244",136464.0,116390.0,190350.0,151110.0,216110.0,169040.0,21060.0,144910.0,21060.0,123850.0,39240.0,47070.0,124058.0,16850.0,112400.0,,,,,,,,,,,,,,,,,,,
51,"6847-Blue-Lake-Dr,-San-Antonio,-TX-78244",102000.0,78650.0,176000.0,126900.0,199000.0,140080.0,23350.0,122000.0,23350.0,98650.0,49100.0,58920.0,111705.0,18680.0,97090.0,,,,,,,,,,,,,,,,,,,
52,"6838-Blue-Lake-Dr,-San-Antonio,-TX-78244",132830.0,111130.0,188750.0,146310.0,215180.0,164290.0,21700.0,139960.0,21700.0,118260.0,42440.0,50890.0,124400.0,17360.0,107040.0,153956.0,38540.0,117430.0,,,,,,,,,,,,,,,,
53,"6842-Blue-Lake-Dr,-San-Antonio,-TX-78244",120220.0,96070.0,175200.0,123870.0,199700.0,138220.0,24150.0,126370.0,24150.0,102220.0,51330.0,61480.0,112310.0,19320.0,92990.0,,,,,,,,,,,,,,,,,,,
54,"6901-Twin-Lake-Dr,-San-Antonio,-TX-78244",118290.0,95910.0,173770.0,124720.0,198180.0,139460.0,23310.0,125370.0,23310.0,102060.0,49050.0,58720.0,107536.0,18650.0,92690.0,,,,,,,,,,,,,,,,,,,
55,"6839-Twin-Lake-Dr,-San-Antonio,-TX-78244",147280.0,123850.0,212550.0,163180.0,242460.0,183240.0,23430.0,155220.0,23430.0,131790.0,49370.0,59220.0,137960.0,18740.0,119220.0,175740.0,44880.0,130860.0,,,,,,,,,,,,,,,,
56,"6915-Indian-Lake-Dr,-San-Antonio,-TX-78244",147402.0,125860.0,211450.0,165100.0,240190.0,184600.0,22520.0,156450.0,22520.0,133930.0,46350.0,55590.0,134002.0,18020.0,121610.0,172095.0,42120.0,132560.0,,,,,,,,,,,,,,,,
57,"6910-Twin-Lake-Dr,-San-Antonio,-TX-78244",134480.0,111010.0,193190.0,143280.0,218940.0,159100.0,23470.0,147928.0,23470.0,132160.0,49910.0,59840.0,129294.0,18770.0,115710.0,162721.0,45400.0,129720.0,,,,,,,,,,,,,,,,
58,"6903-Twin-Lake-Dr,-San-Antonio,-TX-78244",118955.0,96610.0,158000.0,109380.0,197750.0,139480.0,23190.0,125990.0,23190.0,102800.0,48620.0,58270.0,108141.0,18550.0,93450.0,138589.0,44130.0,101660.0,,,,,,,,,,,,,,,,
59,"6915-Trail-Lk,-San-Antonio,-TX-78244",151841.0,134940.0,215890.0,174090.0,244920.0,194820.0,21570.0,165160.0,21570.0,143590.0,41800.0,50100.0,138037.0,17260.0,130280.0,180220.0,38000.0,142220.0,,,,,,,,,,,,,,,,
60,"6906-Indian-Lake-Dr,-San-Antonio,-TX-78244",142780.0,120540.0,207960.0,158860.0,236700.0,177780.0,23360.0,151630.0,23360.0,128270.0,49100.0,58920.0,129800.0,18680.0,116370.0,,,,,,,,,,,,,,,,,,,
61,"6930-Trail-Lk,-San-Antonio,-TX-78244",127304.0,106140.0,178200.0,134370.0,202510.0,149980.0,21920.0,134870.0,21920.0,112950.0,43830.0,52530.0,115731.0,17530.0,102730.0,148357.0,39790.0,111640.0,,,,,,,,,,,,,,,,
62,"6927-Trail-Lk,-San-Antonio,-TX-78244",144260.0,122070.0,202530.0,157800.0,230400.0,176720.0,22190.0,152090.0,22190.0,129900.0,44730.0,53680.0,135550.0,17750.0,117800.0,169430.0,40690.0,128740.0,,,,,,,,,,,,,,,,
63,"6925-Trail-Lk,-San-Antonio,-TX-78244",123390.0,101650.0,172650.0,129540.0,196540.0,144840.0,21740.0,129910.0,21740.0,108170.0,43110.0,51700.0,115610.0,17390.0,98220.0,146230.0,39180.0,107050.0,,,,,,,,,,,,,,,,
64,"6931-Trail-Lk,-San-Antonio,-TX-78244",114200.0,90170.0,168520.0,117550.0,192550.0,131450.0,24030.0,120060.0,24030.0,96030.0,50970.0,61100.0,106000.0,19220.0,86780.0,141450.0,46380.0,95070.0,,,,,,,,,,,,,,,,
