features_id,id,floorCount,architectureType,exteriorType,foundationType,roofType,fireplace,unitCount,garage,garageSpaces,garageType,cooling,coolingType,heating,heatingType,roomCount,pool,fireplaceType,poolType,squareFootage,bedrooms,bathrooms
0,"7420-FM-2673,-Canyon-Lake,-TX-78133",,,,,,,,,,,,,,,,,,,,,
1,"1350-Hinch-Dr,-New-Braunfels,-TX-78132",1.0,,,,,,,,,,,,,,,,,,1112.0,1.0,1.0
2,"1200-Hinch-Dr,-New-Braunfels,-TX-78132",1.0,Mobile Home,,,,,,,,,,,,,,,,,980.0,1.0,1.0
3,"1340-Hinch-Dr,-New-Braunfels,-TX-78132",2.0,,Wood,Slab / Mat / Raft,Metal,,,,,,,,,,,,,,5548.0,,
4,"1331-Hinch-Dr,-New-Braunfels,-TX-78132",1.0,,Stone Veneer,Slab,Composition Shingle,True,1.0,,,,,,,,,,,,2071.0,4.0,1.0
5,"187-Madrona-Dr,-New-Braunfels,-TX-78132",,,,,,,,,,,,,,,,,,,,,
6,"1171-Hinch-Dr,-New-Braunfels,-TX-78132",1.0,Mobile Home,,,,,1.0,True,4.0,Garage,,,,,,,,,3192.0,2.0,2.0
7,"1501-Old-Sattler-Rd,-New-Braunfels,-TX-78132",2.0,,Wood,Slab / Mat / Raft,Composition Shingle,True,1.0,True,4.0,Detached,,,,,,,,,2195.0,,2.0
8,"1250-Hinch-Dr,-New-Braunfels,-TX-78132",,,,,,,,,,,,,,,,,,,,,
9,"7106-FM-2673,-Canyon-Lake,-TX-78133",,,,,,,,,,,,,,,,,,,,1.0,1.0
10,"7034-FM-2673,-Canyon-Lake,-TX-78133",1.0,,Aluminum / Vinyl Siding,Slab / Mat / Raft,Metal,,1.0,True,,Detached,,,,,,,,,2550.0,,1.0
11,"5509-Roanwood,-San-Antonio,-TX-78244",,,,,,,,,,,,,,,,,,,,,
12,"5528-Lochmoor,-San-Antonio,-TX-78244",,,,,,,,,,,,,,,,,,,912.0,2.0,1.5
13,"5523-Lochmoor,-Apt-2,-San-Antonio,-TX-78244",,,,,,,,,,,,,,,,,,,800.0,2.0,1.0
14,"5721-Lochmoor,-San-Antonio,-TX-78244",,,,,,,,,,,,,,,,,,,,2.0,2.0
15,"5519-Lochmoor,-Apt-2,-San-Antonio,-TX-78244",,,,,,,,,,,,,,,,,,,800.0,2.0,1.0
16,"5527-Lochmoor,---2,-San-Antonio,-TX-78244",,,,,,,,,,,,,,,,,,,,,
17,"5520-Lochmoor,-San-Antonio,-TX-78244",,,,,,,,,,,,,,,,,,,983.0,2.0,2.0
18,"5512-Lochmoor,-San-Antonio,-TX-78244",,,,,,,,,,,,,,,,,,,912.0,2.0,2.0
19,"5516-Lochmoor,-San-Antonio,-TX-78244",,,,,,,,,,,,,,,,,,,850.0,2.0,1.0
20,"5511-Lochmoor,-Apt-2,-San-Antonio,-TX-78244",,,,,,,,,,,,,,,,,,,,,
21,"5705-Lochmoor,-San-Antonio,-TX-78244",,,,,,,,,,,,,,,,,,,,,
